phase,beta_mult,beta_exp,eps_mult,eps_exp,PSNR
coarse,0.1,0.8,0.1,0.7,30.7203
coarse,0.1,0.7,0.1,0.6,30.6376
coarse,0.1,0.8,0.1,0.6,30.5498
coarse,0.1,0.9,0.1,0.8,30.3380
coarse,0.1,0.9,0.1,0.7,30.1341
coarse,0.1,0.9,0.1,0.6,29.7743
coarse,0.1,1.0,0.1,0.9,27.9105
coarse,0.1,1.0,0.1,0.8,27.6158
coarse,0.1,1.0,0.1,0.7,27.2030
coarse,0.1,1.0,0.1,0.6,26.6147
coarse,0.1,0.8,1.0,0.7,26.0181
coarse,0.1,0.7,1.0,0.6,25.0941
coarse,0.1,0.9,1.0,0.8,24.1006
coarse,0.1,0.8,1.0,0.6,22.6675
coarse,0.1,0.9,1.0,0.7,22.1232
coarse,0.1,1.0,1.0,0.9,20.9045
coarse,0.1,1.0,1.0,0.8,20.0387
coarse,0.1,0.9,1.0,0.6,19.9291
coarse,0.1,1.0,1.0,0.7,18.9843
coarse,0.1,1.0,1.0,0.6,17.7531
coarse,1.0,0.7,0.1,0.6,15.7224
coarse,0.1,1.0,10.0,0.9,15.5177
coarse,0.1,0.9,10.0,0.8,15.3099
coarse,1.0,0.7,1.0,0.6,14.8593
coarse,0.1,1.0,10.0,0.8,14.4719
coarse,1.0,0.8,0.1,0.7,14.4622
coarse,1.0,0.8,0.1,0.6,14.4424
coarse,0.1,0.8,10.0,0.7,14.2409
coarse,1.0,0.8,1.0,0.7,14.0682
coarse,1.0,0.8,1.0,0.6,13.8987
coarse,0.1,0.9,10.0,0.7,13.8327
coarse,1.0,0.9,0.1,0.8,13.6886
coarse,1.0,0.9,0.1,0.7,13.6802
coarse,1.0,0.9,0.1,0.6,13.6679
coarse,1.0,0.9,1.0,0.8,13.4312
coarse,0.1,1.0,10.0,0.7,13.3790
coarse,1.0,0.9,1.0,0.7,13.3440
coarse,1.0,0.9,1.0,0.6,13.2127
coarse,1.0,1.0,0.1,0.9,13.2002
coarse,1.0,1.0,0.1,0.8,13.1956
coarse,1.0,1.0,0.1,0.7,13.1892
coarse,1.0,1.0,0.1,0.6,13.1801
coarse,1.0,1.0,1.0,0.9,12.9240
coarse,1.0,1.0,1.0,0.8,12.8631
coarse,1.0,1.0,1.0,0.7,12.7766
coarse,0.1,0.7,10.0,0.6,12.6976
coarse,1.0,1.0,1.0,0.6,12.6503
coarse,0.1,0.8,10.0,0.6,12.5835
coarse,0.1,0.9,10.0,0.6,12.4141
coarse,10.0,0.7,0.1,0.6,12.2550
coarse,1.0,0.8,10.0,0.7,12.2337
coarse,0.1,1.0,10.0,0.6,12.1815
coarse,10.0,0.8,0.1,0.7,12.1473
coarse,10.0,0.8,0.1,0.6,12.1464
coarse,10.0,0.7,1.0,0.6,12.1217
coarse,10.0,0.9,0.1,0.8,12.0788
coarse,1.0,0.9,10.0,0.8,12.0787
coarse,10.0,0.9,0.1,0.7,12.0784
coarse,10.0,0.9,0.1,0.6,12.0779
coarse,10.0,0.8,1.0,0.7,12.0506
coarse,10.0,1.0,0.1,0.9,12.0346
coarse,10.0,1.0,0.1,0.8,12.0344
coarse,10.0,1.0,0.1,0.7,12.0341
coarse,10.0,1.0,0.1,0.6,12.0337
coarse,10.0,0.8,1.0,0.6,12.0210
coarse,10.0,0.9,1.0,0.8,12.0025
coarse,10.0,0.9,1.0,0.7,11.9867
coarse,10.0,1.0,1.0,0.9,11.9708
coarse,10.0,0.9,1.0,0.6,11.9638
coarse,10.0,1.0,1.0,0.8,11.9616
coarse,10.0,1.0,1.0,0.7,11.9491
coarse,10.0,1.0,1.0,0.6,11.9315
coarse,1.0,0.7,10.0,0.6,11.8639
coarse,1.0,1.0,10.0,0.9,11.6771
coarse,1.0,0.9,10.0,0.7,11.5517
coarse,1.0,0.8,10.0,0.6,11.4209
coarse,1.0,1.0,10.0,0.8,11.2688
coarse,1.0,0.9,10.0,0.6,10.8322
coarse,1.0,1.0,10.0,0.7,10.7542
coarse,1.0,1.0,10.0,0.6,10.1146
coarse,10.0,1.0,10.0,0.9,9.3622
coarse,10.0,0.9,10.0,0.8,9.3373
coarse,10.0,0.8,10.0,0.7,9.3316
coarse,10.0,0.7,10.0,0.6,9.3275
coarse,10.0,1.0,10.0,0.8,9.1806
coarse,10.0,0.9,10.0,0.7,9.0781
coarse,10.0,1.0,10.0,0.7,8.9594
coarse,10.0,0.8,10.0,0.6,8.9522
coarse,10.0,0.9,10.0,0.6,8.7574
coarse,10.0,1.0,10.0,0.6,8.6891
